layer,pca_pc1_var,pca_pc2_var,pca_pc3_var,pca_cum_var_2pc,angle_pc1_temporal_deg,ridge_cv_r2,kernel_ridge_cv_r2,knn_cv_r2,between_within_eta2,centroid_dist_mean,centroid_dist_std,centroid_dist_cv,calibration_r,calibration_rmse,calib_bias_early,calib_bias_late,calib_bias_centre
1,0.630764901638031,0.23941226303577423,0.06715546548366547,0.870177149772644,87.88351537866274,0.768806708960619,0.5805282670159446,0.7086022694860089,0.08525154718349372,0.3490155041217804,0.21509204804897308,0.6162822246551514,0.9785118165130432,51.22366886348846,61.3660888671875,-76.25144937078771,21.404019449440497
2,0.6341087222099304,0.2480420619249344,0.05583281069993973,0.8821507692337036,85.71606980383784,0.78152562977835,0.6265155748802359,0.7310633977305905,0.0921185138460864,0.4404212236404419,0.31437355279922485,0.7138019800186157,0.9798093763494371,49.22523961963802,60.282063802083336,-72.85081460516271,19.691031168190495
3,0.6626336574554443,0.21288731694221497,0.06651090830564499,0.8755209445953369,85.10972882617435,0.7896919606145701,0.6182316887449535,0.7340181890952688,0.08416839461122955,0.4363539516925812,0.2950749397277832,0.676228404045105,0.9806994034495042,47.697824593083766,59.220906575520836,-70.05113198797521,18.393269123919662
4,0.6495700478553772,0.214284285902977,0.054068535566329956,0.8638543486595154,83.56942491791361,0.7949840683051994,0.7318263975954291,0.7507771940042568,0.07611833710918443,0.7199975848197937,0.42541322112083435,0.5908536911010742,0.9813248423780954,46.850492740055316,60.110677083333336,-68.26541421453771,17.084138264544663
5,0.7197760939598083,0.16318750381469727,0.05066939443349838,0.8829635977745056,83.22397188735363,0.8007637623461686,0.7523992673403177,0.7563502201595755,0.09957111354053291,0.853065550327301,0.48209279775619507,0.565129816532135,0.9812343293729575,46.87655431597081,60.911173502604164,-67.90430581610022,16.853693928607164
6,0.695478618144989,0.18027985095977783,0.05638676881790161,0.8757584691047668,81.49597570963927,0.8003950897933944,0.75518047502254,0.7334365865313425,0.09393453554744584,1.0126913785934448,0.5965847373008728,0.5891081690788269,0.9812099615199358,47.18956396527136,63.020589192708336,-67.23746011297521,17.195954670794663
7,0.6905009746551514,0.17769896984100342,0.059021029621362686,0.8681999444961548,80.08979028241248,0.7890974674316713,0.7603392950686427,0.6856346352456189,0.07956839972189637,1.3356274366378784,0.7058752775192261,0.5284971594810486,0.9807336920523305,47.97909766265578,65.04117838541667,-68.88287026922521,16.56635668902383
8,0.6994874477386475,0.16096892952919006,0.06055445596575737,0.8604563474655151,78.40617392985025,0.783028710828112,0.7498709713024281,0.654535117292556,0.06850312837007623,1.1771092414855957,0.6273372769355774,0.5329473614692688,0.9805702550636662,48.86575422422887,66.83369954427083,-69.91538980047521,17.780044840065496
9,0.6722221970558167,0.17274343967437744,0.06973445415496826,0.8449656367301941,76.70245297639681,0.7851883178124129,0.7508177366632746,0.6251413386447817,0.06216596147438385,1.2124472856521606,0.6378524303436279,0.5260867476463318,0.9804704678346212,49.227861221294965,68.87642415364583,-69.42112710516271,17.847126545794662
10,0.6737051606178284,0.1821679323911667,0.0661398395895958,0.8558731079101562,75.59766313789584,0.7867852783149174,0.7645968434927275,0.6748477338456844,0.07186430142266828,1.398335337638855,0.7675144672393799,0.5488772392272949,0.9819638357846654,48.05623713598109,66.7852783203125,-68.49322183172521,17.741543863502997
11,0.6495957374572754,0.213975727558136,0.062183134257793427,0.8635714650154114,74.56221162748282,0.7938735527593953,0.7740332064424178,0.7230342378350099,0.09016824102851571,1.3831442594528198,0.7010350823402405,0.5068415999412537,0.9826809513288971,46.979088096149056,64.7620849609375,-67.42884194891272,16.880288980690498
12,0.5831025838851929,0.2837454676628113,0.07136265933513641,0.8668480515480042,77.87821575473103,0.7935431877035357,0.7700978200249904,0.7592645260021446,0.11988102771333828,1.3902291059494019,0.7951596975326538,0.5719630718231201,0.9831757445724691,46.711763334039325,65.5836181640625,-67.26922280828771,16.622126545794664
