idiom,output_slope,output_slope_se,baseline_score,output_slope_normalised,denominations,active_from,first_attested
penny wise pound foolish,-3.545559941435894e-05,6.551689495043941e-08,0.2699804869613508,-0.00013132652590346135,"penny,pound",1200,1605.0
not worth a farthing,-3.520850493433889e-05,2.8247113235546107e-07,0.6638920020744516,-5.30334825910291e-05,farthing,1250,1300.0
look after the pennies,-3.31409648209491e-05,1.6727750154834802e-07,0.4546457153864181,-7.289404408613312e-05,penny,1200,1750.0
not have two pennies to rub together,-3.108947991659363e-05,2.6254758124041007e-07,0.6041271686335382,-5.1461813887487015e-05,penny,1200,1880.0
not worth a penny,-3.067397200589508e-05,2.227154891508532e-07,0.5398649771317032,-5.68178587336144e-05,penny,1200,
penny dreadful,-2.27458772684284e-05,1.818066166229462e-07,0.442066138071968,-5.145356160422627e-05,penny,1200,1850.0
not a penny more,-1.9586792213799046e-05,1.556436824198633e-07,0.3756587974215261,-5.213984697880173e-05,penny,1200,1870.0
pennies in the pound,-9.021746501966042e-06,5.226375774121279e-08,0.14227914849449663,-6.340877491486395e-05,"penny,pound",1200,
brass farthing,-8.993742320449447e-06,1.9050305119727597e-08,0.06953961196125086,-0.00012933265036711703,farthing,1250,1650.0
in for a penny in for a pound,-7.770189859135304e-06,1.2354324544951038e-07,0.26508874436394547,-2.931165515072741e-05,"penny,pound",1200,1695.0
a pretty penny,-3.920542988098902e-06,1.7175028754429183e-08,0.049118422422856065,-7.981817808290545e-05,penny,1200,1750.0
penny for your thoughts,5.695403054068762e-07,2.017403583963779e-08,-0.04030709213158441,1.4130027131393773e-05,penny,1200,1522.0
shilling a dozen,1.425300749701497e-06,4.057249705394928e-08,-0.08220902497688556,1.7337521641963813e-05,shilling,1504,1850.0
uttermost farthing,3.479973268356809e-06,1.2684894586244463e-08,-0.03861876998510076,9.011092972923253e-05,farthing,1250,1526.0
ten a penny,5.007058805911313e-06,7.74501020378238e-08,-0.16838058451042515,2.9736556744173226e-05,penny,1200,1850.0
