idiom_index,idiom_name,trivial_pole,significant_pole
0,penny for your thoughts,a thought of negligible consequence,a thought of considerable consequence
1,not have two pennies to rub together,possessing a negligible sum of money,possessing a substantial sum of money
2,penny-pinching,excessive reluctance to spend a negligible amount,prudent reluctance to spend a substantial amount
3,not worth a penny,of negligible worth,of considerable worth
4,a pretty penny,a negligible sum of money,a considerable sum of money
5,penny packets,a meagre and negligible allocation,a generous and substantial allocation
6,pennies in the pound,a negligible fraction of the full amount,a substantial fraction of the full amount
7,ten a penny,extremely common and of negligible worth,rare and of considerable worth
8,penny dreadful,of negligible cost and negligible quality,of considerable cost and considerable quality
9,turn an honest penny,to earn a negligible return through honest work,to earn a substantial return through honest work
10,not a penny more,refusing even a negligible further concession,refusing a substantial further concession
11,penny wise pound foolish,careful stewardship of a negligible sum,careful stewardship of a substantial sum
12,in for a penny in for a pound,a negligible initial commitment,a total and binding commitment
13,look after the pennies,careful stewardship of negligible individual sums,careful stewardship of substantial individual sums
14,not the full shilling,lacking a negligible degree of full competence,lacking a substantial degree of full competence
15,shilling a dozen,extremely common and of negligible worth,rare and of considerable worth
16,not worth a farthing,of negligible worth,of considerable worth
17,brass farthing,of the least possible worth,of substantial worth
18,uttermost farthing,a negligible residual obligation,a complete and binding obligation
