layer,r2,alpha,coef_norm,years_per_unit_lambda
1,0.8054326882366062,0.008858667904100823,16966.310914201764,16966.310914201764
2,0.8242676103136305,0.008858667904100823,14147.264777061668,14147.264777061668
3,0.8285764784373153,0.008858667904100823,11508.493875896263,11508.493875896263
4,0.8354822600224568,0.001,31558.97870096947,31558.97870096947
5,0.8354030705811293,0.001,78621.10935802563,78621.10935802563
6,0.8292241519465096,0.001,144222.8659100665,144222.8659100665
7,0.826405885637478,0.001,130955.82457428784,130955.82457428784
8,0.8287652012304279,0.001,63394.42303706137,63394.42303706137
9,0.8099369696680021,0.001,96911.2964022037,96911.2964022037
10,0.8024864032142938,0.001,64873.843417875374,64873.843417875374
11,0.8113438124648805,0.001,63523.42735900563,63523.42735900563
12,0.8403025239703557,18.32980710832434,217.02744139687772,217.02744139687772
