layer,intercept,coef_norm,years_per_unit_lam,angle_from_vocab_deg,residual_norm,r2,alpha
1,1656.516767161353,16966.310914201764,16966.310914201764,0.0,1.0,0.8054326882366062,0.008858667904100823
2,1656.5167671609881,14147.264777061668,14147.264777061668,76.1551735041409,0.9709473613036614,0.8242676103136305,0.008858667904100823
3,1656.5167671613017,11508.493875896263,11508.493875896263,86.55263108036749,0.9981904556129868,0.8285764784373153,0.008858667904100823
4,1656.5167671610075,31558.97870096947,31558.97870096947,87.03831476963879,0.9986643095080927,0.8354822600224568,0.001
5,1656.516767161223,78621.10935802563,78621.10935802563,89.86220676805807,0.9999971081197621,0.8354030705811293,0.001
6,1656.5167671611066,144222.8659100665,144222.8659100665,86.55037284682955,0.9981880848325743,0.8292241519465096,0.001
7,1656.5167671612558,130955.82457428784,130955.82457428784,87.36724033223236,0.998944469576861,0.826405885637478,0.001
8,1656.5167671611737,63394.42303706137,63394.42303706137,88.29062964772953,0.9995549950306883,0.8287652012304279,0.001
9,1656.5167671612976,96911.2964022037,96911.2964022037,88.20412081336536,0.999508816897746,0.8099369696680021,0.001
10,1656.516767161116,64873.843417875374,64873.843417875374,86.30810955725883,0.9979247420809582,0.8024864032142938,0.001
11,1656.5167671612967,63523.42735900563,63523.42735900563,89.94630140193372,0.9999995608118609,0.8113438124648805,0.001
12,1656.5167671612103,217.02744139687772,217.02744139687772,88.33838988177075,0.9995795130153822,0.8403025239703557,18.32980710832434
