model,sequence,layer,cosine,rho_seq_on_yr,p_seq_on_yr,rho_yr_on_seq,p_yr_on_seq
macberth,ruling_dynasty,1,-0.01007826253771782,0.21428571428571433,0.6445115810207203,-0.08965517241379309,0.6437200702998868
macberth,ruling_dynasty,2,0.16346511244773865,0.28571428571428575,0.5345092286010408,0.14532019704433494,0.45195706543857933
macberth,ruling_dynasty,3,0.2839697599411011,0.6071428571428572,0.14823116148116158,0.5448275862068965,0.0022429948045707467
macberth,ruling_dynasty,4,-0.014647405594587326,0.10714285714285716,0.8191508555699912,-0.07339901477832511,0.7051407494501156
macberth,ruling_dynasty,5,0.2898656129837036,0.6071428571428572,0.14823116148116158,0.4458128078817733,0.015357494291978602
macberth,ruling_dynasty,6,0.14283457398414612,0.42857142857142866,0.3373683110858241,0.5428571428571427,0.0023440738087657843
macberth,ruling_dynasty,7,-0.06008971482515335,0.10714285714285716,0.8191508555699912,-0.31822660098522154,0.09249541543066322
macberth,ruling_dynasty,8,0.01657513529062271,0.3214285714285715,0.4820720382996776,0.2532019704433497,0.18508051313653126
macberth,ruling_dynasty,9,0.20440149307250977,0.42857142857142866,0.3373683110858241,0.2280788177339901,0.23405484887121789
macberth,ruling_dynasty,10,-0.083095021545887,0.21428571428571433,0.6445115810207203,-0.10738916256157634,0.5792519109953266
macberth,ruling_dynasty,11,0.04967585951089859,0.3214285714285715,0.4820720382996776,0.1334975369458128,0.48995303271098417
macberth,ruling_dynasty,12,-0.015558084473013878,0.07142857142857144,0.8790481931481541,-0.06157635467980294,0.7510054015123317
macberth,primary_weapon,1,0.0012568533420562744,0.39999999999999997,0.6,-0.12019704433497534,0.5345555616789608
macberth,primary_weapon,2,0.3943226635456085,1.0,0.0,0.41330049261083734,0.02584761386170128
macberth,primary_weapon,3,0.21695351600646973,0.7999999999999999,0.2000000000000001,0.3940886699507388,0.03440085141654186
macberth,primary_weapon,4,0.2512279748916626,1.0,0.0,0.6901477832512314,3.432795866538101e-05
macberth,primary_weapon,5,0.11576639115810394,0.39999999999999997,0.6,0.6862068965517241,3.964940965734807e-05
macberth,primary_weapon,6,0.2025500386953354,0.7999999999999999,0.2000000000000001,0.48620689655172405,0.0074899477904648995
macberth,primary_weapon,7,0.08260329812765121,0.39999999999999997,0.6,0.20344827586206893,0.28981355192476793
macberth,primary_weapon,8,0.09721461683511734,0.39999999999999997,0.6,0.2492610837438423,0.19224631911731832
macberth,primary_weapon,9,0.12353788316249847,0.39999999999999997,0.6,0.1758620689655172,0.361490560941629
macberth,primary_weapon,10,0.017582572996616364,0.6000000000000001,0.4,0.17733990147783246,0.3574052891780466
macberth,primary_weapon,11,0.1467786729335785,0.19999999999999998,0.8,0.3389162561576354,0.07209914427967051
macberth,primary_weapon,12,0.14729799330234528,0.7999999999999999,0.2000000000000001,0.7487684729064038,2.9833225275922124e-06
macberth,ship_construction,1,0.4405680000782013,1.0,0.0,0.39014778325123145,0.0364095393675137
macberth,ship_construction,2,0.3867456316947937,1.0,0.0,0.7354679802955664,5.486688272825197e-06
macberth,ship_construction,3,0.03642834722995758,0.5,0.6666666666666666,0.19113300492610832,0.32061099220778855
macberth,ship_construction,4,-0.021001238375902176,-0.5,0.6666666666666666,-0.08423645320197042,0.6639639059569392
macberth,ship_construction,5,0.0410800501704216,1.0,0.0,-0.09704433497536943,0.6165141670277829
macberth,ship_construction,6,-0.07104477286338806,-0.5,0.6666666666666666,-0.2645320197044334,0.1655225328480652
macberth,ship_construction,7,-0.19379134476184845,-1.0,0.0,-0.5625615763546797,0.0014900579521679271
macberth,ship_construction,8,-0.14525747299194336,-0.5,0.6666666666666666,-0.5305418719211822,0.0030693305763129517
macberth,ship_construction,9,0.011572033166885376,0.5,0.6666666666666666,0.031034482758620686,0.8730287007942094
macberth,ship_construction,10,0.0017090104520320892,0.5,0.6666666666666666,-0.05714285714285713,0.7684306031429866
macberth,ship_construction,11,-0.024186471477150917,-0.5,0.6666666666666666,-0.2162561576354679,0.25985011186532236
macberth,ship_construction,12,-0.013359157368540764,-0.5,0.6666666666666666,0.13300492610837436,0.4915705481133557
macberth,primary_fuel,1,0.12469544261693954,1.0,0.0,0.2655172413793103,0.16389405068476925
macberth,primary_fuel,2,0.5698519945144653,1.0,0.0,0.36945812807881767,0.04855292388858301
macberth,primary_fuel,3,0.3574969172477722,0.5,0.6666666666666666,0.447783251231527,0.014857089682693374
macberth,primary_fuel,4,0.1307705044746399,0.5,0.6666666666666666,0.4857142857142856,0.007559715231965241
macberth,primary_fuel,5,0.2259325534105301,0.5,0.6666666666666666,0.17438423645320195,0.3656033152619794
macberth,primary_fuel,6,0.4395219683647156,1.0,0.0,0.4034482758620689,0.029986552713149744
macberth,primary_fuel,7,0.2609589993953705,0.5,0.6666666666666666,0.07881773399014776,0.6844417327679787
macberth,primary_fuel,8,0.4997667074203491,1.0,0.0,0.29655172413793096,0.11826239800434295
macberth,primary_fuel,9,0.330402135848999,0.5,0.6666666666666666,0.27832512315270924,0.143750854461642
macberth,primary_fuel,10,0.3126852810382843,0.5,0.6666666666666666,0.47093596059113285,0.009923433751931348
macberth,primary_fuel,11,0.4181613028049469,0.5,0.6666666666666666,0.38423645320197036,0.03959818010444468
macberth,primary_fuel,12,0.2799779176712036,0.5,0.6666666666666666,0.5551724137931033,0.0017717461899003789
