series,kind,rho_temporal,p_temporal,n_temporal,rho_value,p_value,n_value
archaeological_cultures,categorical,0.5630263438738164,0.002231296725909642,27,-0.5099410028799997,0.006581765422212355,27
art_periods,categorical,0.5003145726550126,0.007867402020712514,27,-0.4981659824656966,0.008181448845400466,27
boe_coin_supply,numeric,0.5808547008547009,0.0018616663297556456,26,-0.4461538461538461,0.022337439662589293,26
boe_cpi,numeric,0.434065934065934,0.023684423849381755,27,-0.4413919413919414,0.02117711922175252,27
boe_population,numeric,0.6355555555555555,0.00048493449093796505,26,-0.535042735042735,0.004856994397958236,26
boe_real_wages,numeric,0.31807081807081805,0.10591129146848363,27,0.14163614163614163,0.4809949222674853,27
boe_trade_volume,numeric,0.5719658119658119,0.0022667582800500632,26,-0.5794871794871794,0.0019196104952663798,26
boe_wheat_price,numeric,0.5022222222222221,0.008936499498143768,26,-0.45094017094017086,0.020772767551489595,26
chinese_dynasties,categorical,0.5042810455920792,0.00731421712495001,27,-0.5804484951867162,0.0015027962013744718,27
chinese_emperors,categorical,0.4996946564600723,0.007956954236957864,27,-0.5003055301232264,0.007868702181591589,27
english_monarchs,categorical,0.5022165839266881,0.007597905890007317,27,-0.49610317450579106,0.008492789622823743,27
geologic_time,categorical,,,27,,,27
japanese_nengo,categorical,0.5074809396879414,0.0068921369476345,27,-0.5123664360988963,0.006287384314215011,27
literary_periods,categorical,0.5017138821464361,0.0076683677781141935,27,-0.5158813705311726,0.005880537265170463,27
music_periods,categorical,0.5160253357851721,0.005864359588066476,27,-0.4985485418815743,0.008124775143802795,27
popes,categorical,0.5064875650522471,0.007020912707358323,27,-0.5092352371953877,0.006669577507696597,27
roman_consuls,categorical,,,27,,,27
