layer,series,rho,p,n
0,archaeological_cultures,,,105
0,art_periods,,,121
0,chinese_dynasties,,,117
0,chinese_emperors,,,85
0,english_monarchs,,,46
0,japanese_nengo,,,56
0,literary_periods,,,121
0,music_periods,,,119
0,popes,,,80
0,roman_consuls,,,42
1,archaeological_cultures,0.5668197211679692,2.914708319035066e-10,105
1,art_periods,0.6038465032581014,2.2716686156670054e-13,121
1,chinese_dynasties,0.6008310218969211,7.978707758898396e-13,117
1,chinese_emperors,0.062197684151046206,0.5717393080214647,85
1,english_monarchs,0.48644316320044384,0.0006087014821293102,46
1,japanese_nengo,0.19283614782903044,0.15447246043033033,56
1,literary_periods,0.6065444596109121,1.6647029658381772e-13,121
1,music_periods,0.43390940226606584,8.228777682702802e-07,119
1,popes,-0.25145482568895033,0.024451065605221416,80
1,roman_consuls,0.7776517300056722,1.3756056955787714e-09,42
2,archaeological_cultures,0.6169723583316534,2.4112626231314885e-12,105
2,art_periods,0.7623121761101509,3.1110904508297622e-24,121
2,chinese_dynasties,0.7407197484812215,1.3540745921188521e-21,117
2,chinese_emperors,0.39421507840086506,0.0001891827787751897,85
2,english_monarchs,0.8222956147493614,2.428159246573567e-12,46
2,japanese_nengo,0.736003829732425,1.0268764911029502e-10,56
2,literary_periods,0.7682379939072961,8.394337006387514e-25,121
2,music_periods,0.5996648125417368,5.757319488809276e-13,119
2,popes,0.3063777917175894,0.005709723680092245,80
2,roman_consuls,0.7531804553925939,8.6665576392587e-09,42
3,archaeological_cultures,0.5974486716749043,1.721020424532224e-11,105
3,art_periods,0.7516761451345662,2.975783940853909e-23,121
3,chinese_dynasties,0.7246819094601563,2.5613607560575765e-20,117
3,chinese_emperors,0.3410074758553117,0.0014046872597567614,85
3,english_monarchs,0.8110059382920779,8.318246200940148e-12,46
3,japanese_nengo,0.6683983883276355,1.8125913488505558e-08,56
3,literary_periods,0.7542435850331366,1.743618072271083e-23,121
3,music_periods,0.5751432883811095,7.860574093864315e-12,119
3,popes,0.2400740745122947,0.03195535061416059,80
3,roman_consuls,0.7348675147881049,3.007134819731072e-08,42
4,archaeological_cultures,0.6452775544224826,1.0831422510480416e-13,105
4,art_periods,0.7040767702967484,2.0932168192111876e-19,121
4,chinese_dynasties,0.7425756146035934,9.501938433443331e-22,117
4,chinese_emperors,0.8443445556567633,3.309812941374328e-24,85
4,english_monarchs,0.4124741901278589,0.004391514912098268,46
4,japanese_nengo,0.5238567241714907,3.42258921051992e-05,56
4,literary_periods,0.6939976208463713,1.094085526402567e-18,121
4,music_periods,0.778170344905916,2.183166517225773e-25,119
4,popes,0.6612556332487742,2.4515030697219707e-11,80
4,roman_consuls,0.317721416416822,0.040325684041007545,42
5,archaeological_cultures,0.8647945424671907,1.3799684873472918e-32,105
5,art_periods,0.9101248654348533,2.3342131139700722e-47,121
5,chinese_dynasties,0.9076124541902385,3.655205547070903e-45,117
5,chinese_emperors,0.8878780486485796,1.0149819969060503e-29,85
5,english_monarchs,0.7727567612236854,3.137801556356043e-10,46
5,japanese_nengo,0.7971153207494944,1.9821941128029485e-13,56
5,literary_periods,0.9159575094347283,5.132601313514702e-49,121
5,music_periods,0.8571752243538987,1.6460497597684707e-35,119
5,popes,0.8310058075963583,1.4601420216527755e-21,80
5,roman_consuls,0.7930475650271454,3.821498640724719e-10,42
6,archaeological_cultures,0.8689855995390966,3.0462144852134112e-33,105
6,art_periods,0.9039778701658909,9.937434019098904e-46,121
6,chinese_dynasties,0.908818391488379,1.7783740068413698e-45,117
6,chinese_emperors,0.9160600001162335,1.103786114167979e-34,85
6,english_monarchs,0.6292606549961353,2.8106739762216207e-06,46
6,japanese_nengo,0.7157016900992373,5.671905987383081e-10,56
6,literary_periods,0.9086714451738739,5.803495067602811e-47,121
6,music_periods,0.8737140633808512,2.0269200872695643e-38,119
6,popes,0.8301033175442445,1.7648652432779636e-21,80
6,roman_consuls,0.822704805121141,2.3249169693567933e-11,42
7,archaeological_cultures,0.8594779168499835,8.735043164561799e-32,105
7,art_periods,0.909857015117011,2.7640041743986757e-47,121
7,chinese_dynasties,0.9015677404434843,1.17254680101651e-43,117
7,chinese_emperors,0.8999364841933386,1.160928646174923e-31,85
7,english_monarchs,0.7826892088172519,1.311664725897617e-10,46
7,japanese_nengo,0.8407615030922226,5.201519451190953e-16,56
7,literary_periods,0.9134325347398519,2.769207053299069e-48,121
7,music_periods,0.8685260826689755,1.8271472288579136e-37,119
7,popes,0.8661208750786037,3.3387590988957537e-25,80
7,roman_consuls,0.7969370391378332,2.718215514119037e-10,42
8,archaeological_cultures,0.8328947887639475,3.218379411374429e-28,105
8,art_periods,0.878410031598188,5.760304034135773e-40,121
8,chinese_dynasties,0.8693718443529415,5.30723723052132e-37,117
8,chinese_emperors,0.8087653305202418,7.888341302396837e-21,85
8,english_monarchs,0.49964529851114714,0.00040741685337856,46
8,japanese_nengo,0.6407478311504491,1.043372980941865e-07,56
8,literary_periods,0.8800335424097792,2.7203768315271225e-40,121
8,music_periods,0.8221324600170872,2.112652132334584e-30,119
8,popes,0.7385298788797638,5.349120368664243e-15,80
8,roman_consuls,0.7531804553925939,8.6665576392587e-09,42
9,archaeological_cultures,0.7665277402057367,1.5772596881314496e-21,105
9,art_periods,0.8290001242321706,8.09185346340914e-32,121
9,chinese_dynasties,0.8136056971454714,7.489431889669182e-29,117
9,chinese_emperors,0.6711291355057115,2.0879795949086104e-12,85
9,english_monarchs,0.48015055665048245,0.0007329586896144539,46
9,japanese_nengo,0.5955636079264189,1.2861608907935365e-06,56
9,literary_periods,0.8300641912476515,5.770786280042237e-32,121
9,music_periods,0.7575331158103336,2.0600162925165836e-23,119
9,popes,0.583676650717071,1.3279224064803741e-08,80
9,roman_consuls,0.7804067741674094,1.1021112880272249e-09,42
10,archaeological_cultures,0.7494574817606353,3.7022703179722444e-20,105
10,art_periods,0.8256197854107941,2.3324488975667522e-31,121
10,chinese_dynasties,0.8071439770432854,4.362393379844924e-28,117
10,chinese_emperors,0.6520838430610313,1.3793012380265706e-11,85
10,english_monarchs,0.49156361754992217,0.0005219257469971387,46
10,japanese_nengo,0.5037596566558099,7.56057979771166e-05,56
10,literary_periods,0.8239063794749519,3.954494233078706e-31,121
10,music_periods,0.7448862180985538,2.686944182568369e-22,119
10,popes,0.5228113151245138,6.529065396032928e-07,80
10,roman_consuls,0.7792723442184588,1.2079002313005801e-09,42
11,archaeological_cultures,0.5697296011399235,2.2554835670056485e-10,105
11,art_periods,0.6534293266520929,4.517739177370479e-16,121
11,chinese_dynasties,0.6224439729131279,6.792817652238003e-14,117
11,chinese_emperors,0.14850246756377836,0.17497594041755068,85
11,english_monarchs,0.43153708644097716,0.0027498621959914054,46
11,japanese_nengo,0.2822475910620584,0.03506834630663049,56
11,literary_periods,0.6546413194448072,3.824328666034371e-16,121
11,music_periods,0.47401780731270443,5.170568233323562e-08,119
11,popes,-0.105356923096764,0.35231831872708025,80
11,roman_consuls,0.7640385706182644,3.935183858542544e-09,42
12,archaeological_cultures,0.6325435877002935,4.550041144857242e-13,105
12,art_periods,0.7280714120609222,3.040455273117496e-21,121
12,chinese_dynasties,0.703455910287278,9.254619522464163e-19,117
12,chinese_emperors,0.3320271660776509,0.0019067315057250652,85
12,english_monarchs,0.5508498420059306,7.283039448163665e-05,46
12,japanese_nengo,0.4567981417467196,0.00040184197892447295,56
12,literary_periods,0.7340539825267302,9.861526115401673e-22,121
12,music_periods,0.5680246295119035,1.6132100923351303e-11,119
12,popes,0.14991883450113566,0.18440081774132508,80
12,roman_consuls,0.7565837452394458,6.79649826774706e-09,42
