idiom,output_slope,output_slope_se,baseline_score,output_slope_normalised,denominations,active_from,first_attested
penny wise pound foolish,-3.5455599104433894e-05,6.551689259477496e-08,0.2699804869613508,-0.00013132652475550784,"penny,pound",1200,1605.0
not worth a farthing,-3.52085049452326e-05,2.8247112399845037e-07,0.6638920020744516,-5.303348260743796e-05,farthing,1250,1300.0
look after the pennies,-3.314096418429924e-05,1.6727749756847904e-07,0.4546457153864181,-7.289404268581232e-05,penny,1200,1750.0
not have two pennies to rub together,-3.108947973856455e-05,2.6254757381118727e-07,0.6041271686335382,-5.146181359279893e-05,penny,1200,1880.0
not worth a penny,-3.0673972024959305e-05,2.2271548259650826e-07,0.5398649771317032,-5.681785876892734e-05,penny,1200,
penny dreadful,-2.2745877090832017e-05,1.8180661139766008e-07,0.442066138071968,-5.145356120248461e-05,penny,1200,1850.0
not a penny more,-1.9586791940803004e-05,1.556436786201699e-07,0.3756587974215261,-5.213984625208896e-05,penny,1200,1870.0
not the full shilling,-1.4087398066595534e-05,1.3761130672202002e-07,0.2993486724403312,-4.70601654978228e-05,shilling,1504,1916.0
pennies in the pound,-9.021746651522e-06,5.226375579815986e-08,0.14227914849449663,-6.340877596600854e-05,"penny,pound",1200,
brass farthing,-8.993742277216304e-06,1.9050304421901234e-08,0.06953961196125086,-0.00012933264974541179,farthing,1250,1650.0
in for a penny in for a pound,-7.770189426680518e-06,1.2354324296482285e-07,0.26508874436394547,-2.9311653519368874e-05,"penny,pound",1200,1695.0
turn an honest penny,-4.498208759794934e-06,7.922799245124022e-09,0.03386635298748673,-0.0001328223550217225,penny,1200,1880.0
a pretty penny,-3.920543262060829e-06,1.7175027510167542e-08,0.049118422422856065,-7.98181836604854e-05,penny,1200,1750.0
penny for your thoughts,5.695401221828831e-07,2.0174035729620592e-08,-0.04030709213158441,1.413002258569267e-05,penny,1200,1522.0
shilling a dozen,1.4253004356439919e-06,4.0572496676197916e-08,-0.08220902497688556,1.7337517821732332e-05,shilling,1504,1850.0
uttermost farthing,3.4799733811590995e-06,1.268489390821835e-08,-0.03861876998510076,9.011093265015131e-05,farthing,1250,1526.0
ten a penny,5.007058450454585e-06,7.745010079158519e-08,-0.16838058451042515,2.973655463314167e-05,penny,1200,1850.0
penny packets,5.895196333558725e-06,2.5046900926106904e-08,0.01878217338930114,0.0003138718939160042,penny,1200,1915.0
penny-pinching,2.0500848298613622e-05,1.2547218885628662e-07,-0.31579167202029956,6.491890101932706e-05,penny,1200,1900.0
