idiom,denomination,group,decade_start,decade_end,jsd,n_start,n_end
uttermost farthing,['farthing'],treatment,1820,1830,0.126951,3,10
uttermost farthing,['farthing'],treatment,1860,1870,0.318233,6,5
uttermost farthing,['farthing'],treatment,1870,1880,0.294370,5,18
uttermost farthing,['farthing'],treatment,1880,1890,0.256628,18,13
uttermost farthing,['farthing'],treatment,1890,1900,0.225508,13,14
uttermost farthing,['farthing'],treatment,1900,1910,0.282812,14,17
uttermost farthing,['farthing'],treatment,1910,1920,0.295787,17,10
uttermost farthing,['farthing'],treatment,1920,1930,0.243276,10,14
uttermost farthing,['farthing'],treatment,1930,1940,0.218629,14,6
uttermost farthing,['farthing'],treatment,1940,1950,0.406330,6,4
a bitter pill to swallow,['placebo'],placebo,1940,1960,0.044692,4,4
a bitter pill to swallow,['placebo'],placebo,1960,1980,0.022703,4,7
a bitter pill to swallow,['placebo'],placebo,1980,1990,0.136025,7,7
a bitter pill to swallow,['placebo'],placebo,1990,2000,0.143278,7,4
not worth a farthing,['farthing'],treatment,1820,1840,0.261328,3,7
not worth a farthing,['farthing'],treatment,1840,1850,0.324353,7,5
not worth a farthing,['farthing'],treatment,1850,1860,0.364622,5,4
not worth a farthing,['farthing'],treatment,1860,1880,0.235240,4,4
pound of flesh,['pound'],treatment,1830,1840,0.343352,10,8
pound of flesh,['pound'],treatment,1840,1850,0.298797,8,4
pound of flesh,['pound'],treatment,1850,1860,0.275186,4,6
pound of flesh,['pound'],treatment,1860,1870,0.298935,6,7
pound of flesh,['pound'],treatment,1870,1880,0.372080,7,61
pound of flesh,['pound'],treatment,1880,1890,0.313607,61,17
pound of flesh,['pound'],treatment,1890,1900,0.365625,17,23
pound of flesh,['pound'],treatment,1900,1910,0.328594,23,28
pound of flesh,['pound'],treatment,1910,1920,0.284117,28,44
pound of flesh,['pound'],treatment,1920,1930,0.320230,44,60
pound of flesh,['pound'],treatment,1930,1940,0.353362,60,27
pound of flesh,['pound'],treatment,1940,1950,0.318239,27,37
pound of flesh,['pound'],treatment,1950,1960,0.424815,37,51
