idiom,decade,rank,token,prob_mean
a bitter pill to swallow,1810,0,a,0.934676
a bitter pill to swallow,1810,1,the,0.026029
a bitter pill to swallow,1810,2,very,0.012623
a bitter pill to swallow,1810,3,some,0.008616
a bitter pill to swallow,1810,4,more,0.004258
a bitter pill to swallow,1810,5,this,0.002558
a bitter pill to swallow,1810,6,one,0.001416
a bitter pill to swallow,1810,7,another,0.001095
a bitter pill to swallow,1810,8,his,0.001033
a bitter pill to swallow,1810,9,somewhat,0.001013
a bitter pill to swallow,1810,10,that,0.000478
a bitter pill to swallow,1810,11,too,0.000421
a bitter pill to swallow,1810,12,bitter,0.000313
a bitter pill to swallow,1810,13,pretty,0.000259
a bitter pill to swallow,1810,14,much,0.000258
a bitter pill to swallow,1810,15,an,0.000219
a bitter pill to swallow,1810,16,most,0.000191
a bitter pill to swallow,1810,17,rather,0.000178
a bitter pill to swallow,1810,18,cold,0.000173
a bitter pill to swallow,1810,19,less,0.000156
a bitter pill to swallow,1900,0,a,0.992067
a bitter pill to swallow,1900,1,the,0.006483
a bitter pill to swallow,1900,2,no,0.000384
a bitter pill to swallow,1900,3,another,0.000162
a bitter pill to swallow,1900,4,to,0.000117
a bitter pill to swallow,1900,5,one,0.000094
a bitter pill to swallow,1900,6,this,0.000060
a bitter pill to swallow,1900,7,originally,0.000040
a bitter pill to swallow,1900,8,first,0.000038
a bitter pill to swallow,1900,9,only,0.000035
a bitter pill to swallow,1900,10,called,0.000031
a bitter pill to swallow,1900,11,land,0.000026
a bitter pill to swallow,1900,12,not,0.000026
a bitter pill to swallow,1900,13,income,0.000019
a bitter pill to swallow,1900,14,merely,0.000016
a bitter pill to swallow,1900,15,simply,0.000012
a bitter pill to swallow,1900,16,in,0.000012
a bitter pill to swallow,1900,17,proposed,0.000012
a bitter pill to swallow,1900,18,last,0.000011
a bitter pill to swallow,1900,19,that,0.000008
a bitter pill to swallow,1910,0,a,0.995742
a bitter pill to swallow,1910,1,no,0.001448
a bitter pill to swallow,1910,2,some,0.001002
a bitter pill to swallow,1910,3,the,0.000872
a bitter pill to swallow,1910,4,too,0.000289
a bitter pill to swallow,1910,5,very,0.000141
a bitter pill to swallow,1910,6,rather,0.000104
a bitter pill to swallow,1910,7,one,0.000078
a bitter pill to swallow,1910,8,somewhat,0.000076
a bitter pill to swallow,1910,9,another,0.000064
a bitter pill to swallow,1910,10,an,0.000055
a bitter pill to swallow,1910,11,any,0.000014
a bitter pill to swallow,1910,12,that,0.000008
a bitter pill to swallow,1910,13,this,0.000008
a bitter pill to swallow,1910,14,most,0.000006
a bitter pill to swallow,1910,15,au,0.000005
a bitter pill to swallow,1910,16,more,0.000005
a bitter pill to swallow,1910,17,my,0.000004
a bitter pill to swallow,1910,18,not,0.000003
a bitter pill to swallow,1910,19,his,0.000003
a bitter pill to swallow,1940,0,a,0.926009
a bitter pill to swallow,1940,1,any,0.087100
a bitter pill to swallow,1940,2,some,0.023285
a bitter pill to swallow,1940,3,my,0.003940
a bitter pill to swallow,1940,4,one,0.002096
a bitter pill to swallow,1940,5,the,0.001434
a bitter pill to swallow,1940,6,their,0.001070
a bitter pill to swallow,1940,7,another,0.000220
a bitter pill to swallow,1940,8,no,0.000215
a bitter pill to swallow,1940,9,very,0.000211
a bitter pill to swallow,1940,10,this,0.000185
a bitter pill to swallow,1940,11,rather,0.000121
a bitter pill to swallow,1940,12,practical,0.000100
a bitter pill to swallow,1940,13,too,0.000092
a bitter pill to swallow,1940,14,voluntary,0.000084
a bitter pill to swallow,1940,15,mere,0.000076
a bitter pill to swallow,1940,16,friendly,0.000073
a bitter pill to swallow,1940,17,most,0.000068
a bitter pill to swallow,1940,18,"""",0.000067
a bitter pill to swallow,1940,19,that,0.000064
a bitter pill to swallow,1950,0,a,0.990254
a bitter pill to swallow,1950,1,an,0.007692
a bitter pill to swallow,1950,2,-,0.001498
a bitter pill to swallow,1950,3,one,0.000152
a bitter pill to swallow,1950,4,',0.000055
a bitter pill to swallow,1950,5,another,0.000030
a bitter pill to swallow,1950,6,his,0.000025
a bitter pill to swallow,1950,7,",",0.000017
a bitter pill to swallow,1950,8,almost,0.000016
a bitter pill to swallow,1950,9,even,0.000015
a bitter pill to swallow,1950,10,.,0.000014
a bitter pill to swallow,1950,11,odd,0.000014
a bitter pill to swallow,1950,12,s,0.000012
a bitter pill to swallow,1950,13,the,0.000011
a bitter pill to swallow,1950,14,two,0.000010
a bitter pill to swallow,1950,15,every,0.000009
a bitter pill to swallow,1950,16,time,0.000008
